"DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES"
"ANT;BOG;1000;240;4525248"
"ANT;BOG;1260;3528;66521146"
"ANT;BOG;600;150;282828"
"ANT;BOG;19700;274655;517955385"
"ANT;BOG;46;92;173175"
"ANT;BOG;568;15;282351"
"ANT;BOG;446;5056;9551644"
"ANT;BOG;42;996;18816133"
"ANT;BOG;60;156697;296027271"
"ANT;BOG;42;7924;14969783"
"ANT;BOG;950;234;44206578"
"ANT;BOG;360;117;22103289"
"ANT;BOG;2150;407;76889219"
"ANT;BOG;702;30147;56672742"
"ANT;BOG;2413;88556;166553445"
"ANT;BOG;3657;8806;16554223"
"ANT;BOG;703;12756;23979749"
"ANT;BOG;6167;6195;11644087"
"ANT;BOG;6996;19124;35948511"
"ANT;BOG;1417;8118;15258701"
"ANT;BOG;3255;210;3946908"
"ANT;BOG;30942;145326;273177725"
"ANT;BOG;3515;17046;32039889"
"ANT;BOG;836;3115;5855826"
"ANT;BOG;109484;163824;307939427"
"ANT;BOG;24415;270;5075676"
"ANT;BOG;4069;38;7143544"
"ANT;BOG;9723;110;2067868"
"ANT;BOG;21581;47766;89788314"
"ANT;BOG;2272;5792;10888265"
"ANT;BOG;7952;13858;26048392"
"ANT;BOG;1872;667;125388"
"ANT;BOG;10;3601;68717523"
"ANT;BOG;9402;20532;3859359"
"ANT;BOG;26981;175247;32944333"
"ANT;BOG;17;151382;288880757"
"ANT;BOG;14299;945;17764866"
"ANT;BOG;4120;76106;143070147"
"ANT;BOG;6360;50524;94979057"
"ANT;BOG;150;887017;1670829572"
"ANT;BOG;3000;1650;31093095"
"ANT;BOG;951;2698;50719162"
"ANT;BOG;96;45008;84609639"
"ANT;BOG;80;16456;30935305"
"ANT;BOG;96;10488;19716181"
"ANT;BOG;227;66855;125679377"
"ANT;BOG;9;1752;330563856"
"ANT;BOG;6000;1080;20351844"
"ANT;BOG;16;164;31295956"
"ANT;BOG;36;3375;64404788"
"ANT;BOG;30;486;91583298"
"ANT;BOG;51;21516;405453959"
"ANT;BOG;41;5898;111143681"
"ANT;BOG;41;24;4522632"
"ANT;BOG;46;68;12976372"
"ANT;BOG;42000;198744;374445621"
"ANT;BOG;600;4416;830155"
"ANT;BOG;902;5964;11211604"
"ANT;BOG;2;12052;2272428704"
"ANT;BOG;264;1750;32977525"
"ANT;BOG;1300;845;159168425"
"ANT;BOG;38;58;1092517"
"ANT;BOG;45;66;1243209"
"ANT;BOG;70;3925;73933263"
"ANT;BOG;42;188;3541262"
"ANT;BOG;25;10375;19542869"
"ANT;BOG;2;15;2825475"
"ANT;BOG;10;579;10906334"
"ANT;BOG;8;52;979498"
"ANT;BOG;3;24;452076"
"ANT;BOG;32;22720;427849408"
"ANT;BOG;148;18991;357680292"
"ANT;BOG;4700;12025;226447585"
"ANT;BOG;7650;9045;170330013"
"ANT;BOG;1950;2311;43676745"
"ANT;BOG;866;251;47312747"
"SAU;BOG;3250;1296;244054944"
"SAU;BOG;2000;1449965;2731226572"
"SAU;BOG;56666;109398;205611353"
"SAU;BOG;31300;34430;648995171"
"ARG;BOG;183138;3686353;6981104721"
"ARG;BOG;15552;2045094;3858642457"
"ARG;BOG;1512;970704;1833824876"
"ARG;BOG;9042;196211;369745895"
"ARG;BOG;1;2065;38942596"
"ARG;BOG;2;700;1320088"
"ARG;BOG;484;22064;41589978"
"ARG;BOG;1080;648;12214606"
"ARG;BOG;190;4199;80129097"
"ARG;BOG;56528;6142588;11721839255"
"ARG;BOG;1761;357583;682372063"
"ARG;BOG;3;4247873;8000528966"
"ARG;BOG;106656;11640;218769144"
"ARG;BOG;166032;18120;340558152"
"ARG;BOG;17279;1426554;2681151181"
"ARG;BOG;300;23978;45160645"
"ARG;BOG;2;266471;503616866"
"ARG;BOG;84;249;46902885"
"ARG;BOG;96;10105;190342833"
"ARG;BOG;75;18773;354800314"
"ARG;BOG;4;124952;235756935"
"ARG;BOG;1584;16922;31928091"
"ARG;BOG;2;880914;1662090917"
"ARG;BOG;1;10027;18918743"
"ARG;BOG;16;184;34635056"
"ARG;BOG;1;1032545;1944715904"
"ARG;BOG;1;1540468;2917292084"
"ARG;BOG;7;952;17962146"
"ARG;BOG;3;161;30377158"
"ARG;BOG;50;2050;3867899"
"ARG;BOG;40;1109457;2090694055"
"ARG;BOG;2;16884;31909916"
"ARG;BOG;9;66598;12586689"
"ARG;BOG;10;5708;107878346"
"ARG;BOG;3;1732;32733934"
"ARG;BOG;1;297;5613152"
"ARG;BOG;15000;1665;31362773"
"ARG;BOG;40;364;685649"
"ARG;BOG;2;9741;1841000295"
"ARG;BOG;4;3696;6946484"
"ARG;BOG;489;93042;175115279"
"AUS;BOG;4;180;3388212"
"AUS;BOG;13;455;8564647"
"AUS;BOG;283;10132;190718689"
"AUS;BOG;381;589117;1108918495"
"AUS;BOG;2;49;9223466"
"AUS;BOG;465;1578661;2975129444"
"AUS;BOG;466;1351137;2545724856"
"AUS;BOG;82;841;158449446"
"AUS;BOG;82;5068;95484161"
"AUS;BOG;809;2545533;4796563184"
"AUS;BOG;51;244596;46083354"
"AUS;BOG;155;6638;1250639028"
"AUS;BOG;50;1736;328808816"
"AUS;BOG;107;274642;518460927"
"AUS;BOG;164;8738;164629163"
"AUS;BOG;290;505105;951648127"
"AUS;BOG;11;44187;83250959"
"AUS;BOG;200000;9100;17169698"
"AUS;BOG;250;300;564702"
"AUS;BOG;46;85335;16074554"
"AUS;BOG;50;462;8702694"
"AUS;BOG;50;4484;84465108"
"AUS;BOG;2;4981;938271"
"AUS;BOG;900;2422;45653973"
"AUS;BOG;219;12996;244599016"
"AUS;BOG;13750;3060;57592566"
"AUS;BOG;42600;12612;2373717132"
"AUS;BOG;6;151392;285643398"
"AUT;BOG;300;6966;131218542"
"AUT;BOG;15;11000;20674060"
"AZE;BOG;37625;14000;26716060"
"AZE;BOG;412;1400;2671606"
"BHS;BOG;115;56948;1072934489"
"BHS;BOG;224;224668;423287992"
"BHS;BOG;119;45832;863502379"
"BHR;BOG;875;1944;36820526"
"BHR;BOG;3;3297;622859349"
"BHR;BOG;2700;270;5082318"
"BHR;BOG;100;25;47059"
"BRB;BOG;9319;7873553;14869196563"
"BRB;BOG;204;64464;1218337368"
"BRB;BOG;204;143616;271427059"
"BEL;BOG;138;7912;149038344"
"BEL;BOG;11;715;13468455"
"BEL;BOG;352;2392;45058104"
"BEL;BOG;14;66;1243242"
"BEL;BOG;189;952;17932824"
"BEL;BOG;315;1617;30459429"
"BEL;BOG;108;1305;24582285"
"BEL;BOG;660;5600;10548720"
"BEL;BOG;5;8642;1628991074"
"BEL;BOG;344;1560;2938572"
"BEL;BOG;51;36504;68742143"
"BEL;BOG;3;1;188365"
"BLZ;BOG;6396;3660;69010032"
"BLZ;BOG;204;456;8701802"
"BLZ;BOG;1162;260;4961554"
"BLZ;BOG;764;171;32631759"
"BLZ;BOG;121;27;5152383"
"BLZ;BOG;16;3575;6822137"
"BLZ;BOG;429;960;18319584"
"BLZ;BOG;10;20175;38018375"
"BLZ;BOG;10836;20761;391226512"
"BLZ;BOG;1;25;477073"
"BOL;BOG;146;353308;665328427"
"BOL;BOG;47;240;4519536"
"BOL;BOG;55;510;9604014"
"BOL;BOG;1;5520;104552112"
"BOL;BOG;248949;27540187;519383460"
"BOL;BOG;41;28812;543097556"
"BOL;BOG;116;36531;688544104"
"BOL;BOG;17;5574;105038128"
"BOL;BOG;269;62337;1174968382"
"BOL;BOG;11;6488;122275254"
"BOL;BOG;41901;183218;3452920327"
"BOL;BOG;53;7817;147348105"
"BOL;BOG;523;107332;2027463847"
"BOL;BOG;41;21735;40850063"
"BOL;BOG;422;370779;6968643"
"BOL;BOG;31301;5319;1002615543"
"BOL;BOG;60;27804;524097059"
"BOL;BOG;17;45942;865744831"
"BOL;BOG;82;26859;50480416"
"BOL;BOG;5194;139549;2629703221"
"BOL;BOG;1163;173824;3269472998"
"BOL;BOG;218;1090242;205307832"
"BOL;BOG;44;25486;47993706"
"BOL;BOG;54;912;171742368"
"BOL;BOG;131;316512;596036408"
"BOL;BOG;15000;21090;398425953"
"BOL;BOG;20;20992;395808358"
"BOL;BOG;2;15935;299950879"
"BOL;BOG;100;2720;51199648"
"BOL;BOG;22;1144;215339696"
"BOL;BOG;105;2898;545502132"
"BOL;BOG;182;6284;1182862456"
"BOL;BOG;4394;924;174338472"
"BOL;BOG;6705;2057;388110646"
"BOL;BOG;735;6128;1155446656"
"BOL;BOG;157602;34430;649618354"
"BOL;BOG;12397;2607;491883546"
"BOL;BOG;2;684;129533868"
"BOL;BOG;56;393176;740515542"
"BOL;BOG;159;197913;37205269"
"BOL;BOG;53;86076;161812551"
"BOL;BOG;102;1639458;3087787986"
"BOL;BOG;56;6552;123330917"
"BOL;BOG;114;770298;1448067804"
"BOL;BOG;40;9024;16964037"
"BOL;BOG;4;53204;100756139"
"BOL;BOG;1;95;1789515"
"BOL;BOG;10093;2099206;3956412622"
"BOL;BOG;8150;9090;171104706"
"BOL;BOG;3;97796;184085323"
"BOL;BOG;6;8101;153414308"
"BOL;BOG;1;15646;296299254"
"BOL;BOG;52;760;14339528"
"BOL;BOG;1;1;187988"
"BOL;BOG;50;30656;57661177"
"BOL;BOG;63;300169;565344298"
"BOL;BOG;297;705362;1327568874"
"BOL;BOG;2000;2554744;480830923"
"BOL;BOG;54301;26145;4926842235"
"BOL;BOG;1913;3199704;6044784806"
"BOL;BOG;1;4620;8702463"
"BOL;BOG;300;3600;6781320"
"BOL;BOG;1;595038;1120539859"
"BOL;BOG;1000;10000;18798800"
"BOL;BOG;10136;100619;191783839"
"BOL;BOG;16429;747905;1413188196"
"BOL;BOG;29758;1281077;2435614518"
"BOL;BOG;4814;66993;126218832"
"BOL;BOG;2723;94487;178125948"
"BOL;BOG;112619;1535462;2905225764"
"BOL;BOG;9889;61169;115945004"
"BOL;BOG;208;1784;3363179"
"BOL;BOG;210074;777479;146499982"
"BOL;BOG;4612;240558;453561933"
"BOL;BOG;494;71733;135121798"
"BOL;BOG;2046;31958;60197687"
"BOL;BOG;802;29283;55204019"
"BOL;BOG;915;29059;54973463"
"BOL;BOG;5229;27484;51812562"
"BOL;BOG;44;2374;4479216"
"BOL;BOG;2124;6642;1250781588"
"BOL;BOG;500;22048;417602349"
"BOL;BOG;700;197082;373285133"
"BOL;BOG;1160;555101;1045332897"
"BOL;BOG;980;791948;1491369322"
"BOL;BOG;55;68634;129996914"
"BOL;BOG;4;6572;12377836"
"BOL;BOG;11102;1414291;2666471761"
"BOL;BOG;200;19647;37016127"
"BOL;BOG;70;25302;47916169"
"BOL;BOG;62;89888;170227198"
"BOL;BOG;969;4955436;9380495402"
"BOL;BOG;46;42935;80874513"
"BOL;BOG;32;30942;5834176"
"BOL;BOG;75;9886;186434142"
"BOL;BOG;1;2034993;384603502"
"BOL;BOG;2;1063031;20040154109"
"BOL;BOG;561;1650;310802251"
"BOL;BUN;75;6015;11363358"
"BOL;BUN;346;4406;8323683"
"BOL;BUN;5113;342617;647261758"
"BOL;BUN;36416;2402815;4539326014"
"BOL;CTG;22200;137346;25819399848"
"BRA;BOG;51;107445;203476118"
"BRA;BOG;115974;736776;1385050467"
"BRA;BOG;4280704;19905273;37510127669"
"BRA;BOG;36316;582096;10969052239"
"BRA;BOG;2425;11755;221423058"
"BRA;BOG;1827;559548;105399259"
"BRA;BOG;163;330028;621224906"
"BRA;BOG;1500;19710;371009214"
"BRA;BOG;16;46105;868816452"
"BRA;BOG;126;966;18196059"
"BRA;BOG;239;1802;33943373"
"BRA;BOG;1562;2032;3827577"
"BRA;BOG;1;12;2262228"
